Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
,,,,,,,Stat3 protein,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,osteopontin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gold Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,palbociclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GATA3 gene|GATA3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Excision of axillary lymph nodes group,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Biological Response Modifiers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GZMK gene|GZMK,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Observation - diagnostic procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Down Regulator,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ROS1 wt Allele|ROS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,APBB1 gene|APBB1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Palliative Care,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,APBB1 gene|APBB1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Environmental Estrogen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Application procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tamoxifen therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Stat3 protein,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GZMK gene|GZMK,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cyclin-Dependent Kinase 4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MDM2 gene|MDM2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Large Neutral Amino Acid-Transporter 1|SLC7A5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Receptors, Progesterone",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GATA3 gene|GATA3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Secondary malignant neoplasm of vertebral column,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Patients,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,osteopontin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Acne,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FMNL2 gene|FMNL2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Excision of axillary lymph nodes group,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Malignant Neoplasms,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cholesterol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adrenal Gland Hyperfunction,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Procedure findings:Finding:Point in time:^Patient:Narrative,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GATA3 gene|GATA3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,letrozole,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mandibular left second molar abutment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TP53,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Immunologic Adjuvants,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Binding Proteins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Chemotherapy, Adjuvant",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MYCBP2 gene|MYCBP2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,andrographolide,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laboratory Procedures,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Primary Neoplasm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RNA Sequence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ESR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Insulin Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,anastrozole,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Phosphotransferases,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,imipramine,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NNAT gene|NNAT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Recurrent disease,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,andrographolide,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NNAT gene|NNAT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MYCT1 gene|MYCT1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mandibular left second molar abutment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Phosphotransferases,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,calcium,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Interferon Type I,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ESR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cell Count,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Core needle biopsy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,abemaciclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RUNX1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Exosomes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MDM2 gene|MDM2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bombesin Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tumor growth,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ECM1 gene|ECM1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HSD3B1 gene|HSD3B1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,COL11A1 gene|COL11A1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Amcenestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Receptors, Progesterone",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MTOR gene|MTOR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ECM1 gene|ECM1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GATA3 gene|GATA3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pathogenic Variant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ECM1 gene|ECM1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,iron,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Obesity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Disease,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FOXM1 wt Allele,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Biological Response Modifiers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,H19 gene|H19|HILS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elacestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"E2F1 protein, human|E2F1|UBE2L3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Triple Negative Breast Neoplasms,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cholecalciferol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Single Agent Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,abemaciclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Psychotherapy, Multiple",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ESR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,genetic element,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MCF-7 Cells,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Enhancer of Zeste Homolog 2 Protein,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HSD3B1 gene|HSD3B1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Combined Modality Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FOSB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,carbidopa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FGFR Inhibitor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipopolysaccharides,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipoprotein (a),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Modulators,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ATF3 gene|ATF3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fatostatin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Proto-Oncogene c-Fos, human|FOS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,palbociclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fibroblast Growth Factor Receptor 1|FGFR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,carbidopa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,palbociclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"TRIM25 protein, human|TRIM25",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,palbociclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Psychotherapy, Multiple",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Transforming Growth Factor beta Receptors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Oncogene Proteins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,palbociclib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,dexamethasone,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BRCA2 gene|BRCA2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Breast-Conserving Surgery,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Chemotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poly(ADP-ribose) Polymerase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,naltrexone,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NUS1 gene|NUS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DIO3OS gene|DIO3OS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GJA1 gene|GJA1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"CD69 protein, human|CD69",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estradiol,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RCOR1 gene|RCOR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,USP37 gene|USP37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANTXR2 gene|ANTXR2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Oral intake,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,indocyanine green,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,everolimus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4-hydroxy-N-desmethyltamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Giredestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body mass index procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,lysosomal Pro-X carboxypeptidase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmaceutical Preparations,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Infiltration,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Assay,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Opioid Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NUS1 gene|NUS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Inhibitor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body mass index procedure,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,everolimus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Agent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogenic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mastectomy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Conventional Treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,indocyanine green,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Body tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMUG1 gene|SMUG1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ceramide kinase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Tomography, Emission-Computed",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,navitoclax,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CHEK2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ESR1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Metabolic marker,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PDCD1 gene|PDCD1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AKTIP gene|AKTIP,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Down Regulator,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,alpelisib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,alpelisib,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Chemotherapy, Adjuvant",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Modulators,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ki67 Measurement,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AKTIP gene|AKTIP,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pharmacotherapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RBCK1 gene|RBCK1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fresh Tissue,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RNF31 gene|RNF31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Combined Modality Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"RNA, Small Interfering",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogens,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Disease Progression,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Coordination Complexes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Proliferation (morphologic abnormality),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ROS1 wt Allele|ROS1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Woman,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,anastrozole,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Histone deacetylase inhibitor|HDAC9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,dioscin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,protodioscin,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vigorous physical activity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,antagonists,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Conventional Imaging,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Phosphoglycerate dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Androgen Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,exemestane,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,novel AODU treatment method,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Transection (procedure),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Agent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Androgen Receptor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ovariectomy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,estrogen receptor-negative breast cancer,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Open Reading Frames,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Endocrine Disruptors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,IMPACT gene,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,High Level,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Current Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PET/CT scan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dietary Intake,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Suppressor Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Puberty,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hypoxia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SRSF5 gene|SRSF5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Microenvironment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Receptors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"PTGS2 protein, human|PTGS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Drug resistance,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Estrogen Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Selective Estrogen Receptor Down Regulator,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Conventional Treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Immunologic Adjuvants,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CDKN2A gene|CDKN2A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Regulatory Sequences, Nucleic Acid",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Prophylactic treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"PTGS2 protein, human|PTGS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hormone Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,First line treatment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,XBP1 gene|XBP1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Genes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Inflammatory Breast Carcinoma,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nitric Oxide Synthase Type II|NOS2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tumor Microenvironment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Neoadjuvant Therapy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,XBP1 gene|XBP1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Positron Emission Tomography and Magnetic Resonance Imaging,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BARRIER,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,fulvestrant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FDG-Positron Emission Tomography,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tamoxifen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aromatase Inhibitors,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Positron-Emission Tomography,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,nicotinamide adenine dinucleotide (NAD),,,,,,,,,,,,,,,,,,,,,,,
